date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_16_normalized,smart_16_raw,smart_17_normalized,smart_17_raw,smart_18_normalized,smart_18_raw,smart_22_normalized,smart_22_raw,smart_23_normalized,smart_23_raw,smart_24_normalized,smart_24_raw,smart_168_normalized,smart_168_raw,smart_170_normalized,smart_170_raw,smart_173_normalized,smart_173_raw,smart_174_normalized,smart_174_raw,smart_177_normalized,smart_177_raw,smart_179_normalized,smart_179_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_218_normalized,smart_218_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_231_normalized,smart_231_raw,smart_232_normalized,smart_232_raw,smart_233_normalized,smart_233_raw,smart_235_normalized,smart_235_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw,source_file
2020-07-01,ZCH0DG22,ST12000NM0007,12000138625024,1,83.0,212778168.0,,,99.0,0.0,100.0,1.0,100.0,0.0,76.0,42080221.0,,,99.0,932.0,100.0,0.0,,,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,76.0,24.0,,,100.0,20.0,100.0,63.0,24.0,24.0,83.0,212778168.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,924.0,100.0,23536233584.0,100.0,15007750330.0,,,,,,,,,,,2020-07-01.csv
2020-07-01,ZLW0G6FJ,ST12000NM001G,12000138625024,1,78.0,70732912.0,,,99.0,0.0,100.0,1.0,100.0,0.0,79.0,72232000.0,,,100.0,640.0,100.0,0.0,,,100.0,1.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,65.0,35.0,,,100.0,0.0,100.0,447.0,35.0,35.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,515.0,100.0,10753090032.0,100.0,8849025580.0,,,,,,,,,,,2020-07-01.csv
2020-07-02,ZHZ50G0W,ST12000NM0008,12000138625024,1,82.0,156403224.0,,,97.0,0.0,100.0,3.0,100.0,0.0,89.0,761502265.0,,,95.0,4708.0,100.0,0.0,,,100.0,3.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,65.0,35.0,,,100.0,2.0,100.0,416.0,35.0,35.0,4.0,156403224.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,4637.0,100.0,41981118744.0,100.0,98556364972.0,,,,,,,,,,,2020-07-02.csv
2020-07-02,Z302SYQ3,ST4000DM000,4000787030016,1,117.0,135695912.0,,,91.0,0.0,100.0,11.0,100.0,56.0,86.0,408978439.0,,,53.0,41908.0,100.0,0.0,,,100.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,2.0,100.0,0.0,71.0,29.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,100.0,0.0,94.0,12448.0,23.0,23.0,,,,,100.0,24.0,100.0,24.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,41786.0,100.0,60776287136.0,100.0,215568113143.0,,,,,,,,,,,2020-07-02.csv
2020-07-02,ZA13YP8K,ST8000DM002,8001563222016,1,76.0,38002048.0,,,85.0,0.0,100.0,13.0,100.0,160.0,95.0,3438251551.0,,,66.0,30235.0,100.0,0.0,,,100.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,61.0,39.0,94.0,12569.0,100.0,9.0,80.0,40766.0,39.0,39.0,17.0,38002048.0,,,100.0,16.0,100.0,16.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,30167.0,100.0,70898590208.0,100.0,215016314676.0,,,,,,,,,,,2020-07-02.csv
2020-07-02,S300WFGR,ST4000DM000,4000787030016,1,116.0,102342960.0,,,97.0,0.0,100.0,8.0,100.0,0.0,82.0,176864261.0,,,51.0,43544.0,100.0,0.0,,,100.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,0.0,43.0,115790.0,21.0,21.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,43102.0,100.0,56053561192.0,100.0,254367247316.0,,,,,,,,,,,2020-07-02.csv
2020-07-03,ZA120BZE,ST8000DM002,8001563222016,1,78.0,65509912.0,,,86.0,0.0,100.0,10.0,100.0,24.0,93.0,1895109440.0,,,61.0,34382.0,100.0,0.0,,,100.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,69.0,31.0,97.0,7579.0,100.0,6.0,94.0,12306.0,31.0,31.0,21.0,65509912.0,,,100.0,8.0,100.0,8.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34319.0,100.0,72081714656.0,100.0,251000444048.0,,,,,,,,,,,2020-07-03.csv
2020-07-03,ZA11RRSL,ST8000DM002,8001563222016,1,81.0,139327624.0,,,87.0,0.0,100.0,7.0,100.0,0.0,93.0,1831410184.0,,,60.0,35237.0,100.0,0.0,,,100.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,66.0,34.0,95.0,11276.0,100.0,1.0,94.0,13736.0,34.0,34.0,1.0,139327624.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,35220.0,100.0,78433677816.0,100.0,270307616796.0,,,,,,,,,,,2020-07-03.csv
2020-07-03,ZA11NZ9A,ST8000DM002,8001563222016,1,57.0,149243072.0,,,84.0,0.0,100.0,8.0,98.0,10208.0,90.0,1104325303.0,,,61.0,34605.0,100.0,0.0,,,100.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,82.0,18.0,100.0,0.0,100.0,0.0,60.0,40.0,96.0,9028.0,100.0,4.0,82.0,36386.0,40.0,40.0,22.0,149243072.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34545.0,100.0,79713985400.0,100.0,224793038426.0,,,,,,,,,,,2020-07-03.csv
2020-07-03,3060A05UF97G,TOSHIBA MG07ACA14TA,14000519643136,1,100.0,0.0,100.0,0.0,100.0,7855.0,100.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,379.0,100.0,0.0,,,100.0,2.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,1.0,100.0,189.0,100.0,25.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,100.0,1572866.0,100.0,175.0,100.0,0.0,100.0,0.0,,,100.0,535.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,2020-07-03.csv
