date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_16_normalized,smart_16_raw,smart_17_normalized,smart_17_raw,smart_18_normalized,smart_18_raw,smart_22_normalized,smart_22_raw,smart_23_normalized,smart_23_raw,smart_24_normalized,smart_24_raw,smart_168_normalized,smart_168_raw,smart_170_normalized,smart_170_raw,smart_173_normalized,smart_173_raw,smart_174_normalized,smart_174_raw,smart_177_normalized,smart_177_raw,smart_179_normalized,smart_179_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_218_normalized,smart_218_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_231_normalized,smart_231_raw,smart_232_normalized,smart_232_raw,smart_233_normalized,smart_233_raw,smart_235_normalized,smart_235_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw,source_file
2020-02-28,ZA15CWDK,ST8000NM0055,8001563222016,1,59.0,93282560.0,,,99.0,0.0,100.0,1.0,100.0,512.0,64.0,30082046003.0,,,100.0,78.0,100.0,0.0,,,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,86.0,14.0,100.0,4295098370.0,100.0,0.0,67.0,33.0,100.0,282.0,100.0,0.0,100.0,6.0,33.0,33.0,80.0,93282560.0,,,100.0,16.0,100.0,16.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,78.0,100.0,2344091344.0,100.0,2554516351.0,,,,,,,,,,,2020-02-28.csv
2020-02-28,88P0A00HF97G,TOSHIBA MG07ACA14TA,14000519643136,1,100.0,0.0,100.0,0.0,100.0,7798.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,70.0,12329.0,100.0,0.0,,,100.0,3.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,1.0,100.0,61.0,100.0,21.0,,,100.0,0.0,100.0,1.0,100.0,0.0,200.0,0.0,,,,,,,100.0,69074946.0,70.0,12311.0,100.0,0.0,100.0,0.0,,,100.0,533.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,2020-02-28.csv
2020-02-28,ZA17ZNAJ,ST8000NM0055,8001563222016,1,66.0,4437088.0,,,91.0,0.0,100.0,7.0,96.0,17240.0,93.0,2162313350.0,,,75.0,22565.0,100.0,0.0,,,100.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,58.0,42.0,97.0,7164.0,100.0,48.0,94.0,12665.0,42.0,42.0,66.0,4437088.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,22539.0,100.0,57793098288.0,100.0,194466198208.0,,,,,,,,,,,2020-02-28.csv
2020-02-18,ZJV0WGCK,ST12000NM0007,12000138625024,1,79.0,85274184.0,,,94.0,0.0,100.0,4.0,100.0,0.0,88.0,662266548.0,,,85.0,13894.0,100.0,0.0,,,100.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,80.0,20.0,,,100.0,227.0,100.0,673.0,20.0,20.0,79.0,85274184.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,13802.0,100.0,55362180632.0,100.0,130514253456.0,,,,,,,,,,,2020-02-18.csv
2020-02-18,ZJV53HZT,ST12000NM0007,12000138625024,1,76.0,37993280.0,,,99.0,0.0,100.0,1.0,100.0,0.0,87.0,502995203.0,,,96.0,3700.0,100.0,0.0,,,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,72.0,28.0,,,100.0,32.0,100.0,1132.0,28.0,28.0,76.0,37993280.0,,,100.0,0.0,100.0,0.0,200.0,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,3438.0,100.0,36342057064.0,100.0,65258868453.0,,,,,,,,,,,2020-02-18.csv
2020-02-18,96HCTBHLT,TOSHIBA MQ01ABF050,500107862016,1,100.0,0.0,100.0,0.0,100.0,1378.0,100.0,13.0,100.0,0.0,100.0,0.0,100.0,0.0,53.0,18937.0,100.0,0.0,,,100.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,2.0,100.0,1581.0,100.0,38.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,100.0,0.0,53.0,18938.0,100.0,0.0,100.0,0.0,,,100.0,270.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,2020-02-18.csv
2020-02-18,ZCH083P1,ST12000NM0007,12000138625024,1,78.0,69680616.0,,,90.0,0.0,100.0,10.0,100.0,2760.0,82.0,143477434.0,,,79.0,19130.0,100.0,0.0,,,100.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,2.0,100.0,0.0,,,69.0,31.0,,,100.0,318.0,100.0,1927.0,31.0,31.0,78.0,69680616.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,18500.0,100.0,62635788120.0,100.0,160578562258.0,,,,,,,,,,,2020-02-18.csv
2020-03-06,ZA189HVC,ST8000NM0055,8001563222016,1,83.0,188617072.0,,,91.0,0.0,100.0,7.0,100.0,0.0,92.0,1610537429.0,,,75.0,22240.0,100.0,0.0,,,100.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,94.0,13892.0,100.0,3.0,89.0,23342.0,23.0,23.0,83.0,188617072.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,22220.0,100.0,57868769008.0,100.0,161720270002.0,,,,,,,,,,,2020-03-06.csv
2020-03-06,Z302SZH2,ST4000DM000,4000787030016,1,119.0,230091816.0,,,91.0,0.0,100.0,25.0,100.0,0.0,79.0,83990465.0,,,56.0,39337.0,100.0,0.0,,,100.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,100.0,2.0,94.0,12675.0,25.0,25.0,,,,,100.0,112.0,100.0,112.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,39145.0,100.0,57803990544.0,100.0,187378301928.0,,,,,,,,,,,2020-03-06.csv
2020-03-06,ZCH07GGE,ST12000NM0007,12000138625024,1,56.0,67027784.0,,,90.0,0.0,100.0,25.0,97.0,14488.0,89.0,824060932.0,,,77.0,20635.0,100.0,0.0,,,100.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,43.0,100.0,0.0,,,67.0,33.0,,,100.0,278.0,100.0,978.0,33.0,33.0,78.0,67027784.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,20504.0,100.0,72588975760.0,100.0,240710679364.0,,,,,,,,,,,2020-03-06.csv
