date,serial_number,model,capacity_bytes,failure,datacenter,cluster_id,vault_id,pod_id,pod_slot_num,is_legacy_format,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_16_normalized,smart_16_raw,smart_17_normalized,smart_17_raw,smart_18_normalized,smart_18_raw,smart_22_normalized,smart_22_raw,smart_23_normalized,smart_23_raw,smart_24_normalized,smart_24_raw,smart_27_normalized,smart_27_raw,smart_71_normalized,smart_71_raw,smart_82_normalized,smart_82_raw,smart_90_normalized,smart_90_raw,smart_160_normalized,smart_160_raw,smart_161_normalized,smart_161_raw,smart_163_normalized,smart_163_raw,smart_164_normalized,smart_164_raw,smart_165_normalized,smart_165_raw,smart_166_normalized,smart_166_raw,smart_167_normalized,smart_167_raw,smart_168_normalized,smart_168_raw,smart_169_normalized,smart_169_raw,smart_170_normalized,smart_170_raw,smart_171_normalized,smart_171_raw,smart_172_normalized,smart_172_raw,smart_173_normalized,smart_173_raw,smart_174_normalized,smart_174_raw,smart_175_normalized,smart_175_raw,smart_176_normalized,smart_176_raw,smart_177_normalized,smart_177_raw,smart_178_normalized,smart_178_raw,smart_179_normalized,smart_179_raw,smart_180_normalized,smart_180_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_202_normalized,smart_202_raw,smart_206_normalized,smart_206_raw,smart_210_normalized,smart_210_raw,smart_211_normalized,smart_211_raw,smart_212_normalized,smart_212_raw,smart_218_normalized,smart_218_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_230_normalized,smart_230_raw,smart_231_normalized,smart_231_raw,smart_232_normalized,smart_232_raw,smart_233_normalized,smart_233_raw,smart_234_normalized,smart_234_raw,smart_235_normalized,smart_235_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_244_normalized,smart_244_raw,smart_245_normalized,smart_245_raw,smart_246_normalized,smart_246_raw,smart_247_normalized,smart_247_raw,smart_248_normalized,smart_248_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw
07-12-2024,ZA13ZKWF,ST8000DM002,8.00156E+12,1,sac0,0,1038,3,43,FALSE,83,190637320,,,84,0,100,18,100,72,93,2056474946,,,22,69092,100,0,,,100,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,99,1,100,0,100,0,63,37,90,20836,100,4,64,73874,37,37,20,190637320,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,69005,100,1.20574E+11,100,6.16959E+11,,,,,,,,,,,,,,,,,,,,
07-12-2024,5PH9PP5F,HGST HUH721212ALE604,1.20001E+13,1,phx1,0,1058,9,0,FALSE,100,0,132,96,163,404,100,14,100,0,100,0,140,15,96,33283,100,0,,,100,14,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,1231,99,1231,206,29,,,100,0,100,1,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-12-2024,VKGKM5UX,HGST HUH728080ALE600,8.00156E+12,1,sac2,0,1096,9,33,FALSE,100,0,133,108,147,456,100,14,100,0,100,0,128,18,92,61830,100,0,,,100,14,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,13123,90,13123,187,32,,,100,0,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-12-2024,3070A19WF97G,TOSHIBA MG07ACA14TA,1.40005E+13,1,sac0,0,1106,13,57,FALSE,100,0,100,0,100,8102,100,10,100,7,100,0,100,0,18,33151,100,0,,,100,5,,,,,,,,,,,,,100,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,1,100,2,100,14,100,25,,,100,7,100,1,100,0,200,0,,,,,,,,,,,,,,,,,100,83886081,18,32868,100,0,100,0,,,100,585,,,,,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,,,,,,,
07-12-2024,2AGM5X7Y,HGST HUH721212ALN604,1.20001E+13,1,sac2,0,1122,12,29,FALSE,100,0,100,0,100,0,100,9,100,0,100,0,100,0,93,49414,100,0,,,100,9,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,2286,99,2286,193,31,,,100,0,100,59,100,96,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-12-2024,8CH384LE,HGST HUH721212ALN604,1.20001E+13,1,sac2,0,1122,16,45,FALSE,97,7,100,0,163,405,100,16,100,4,100,0,100,0,93,49412,100,0,,,100,14,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,2574,98,2574,206,29,,,100,4,100,14,100,56,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-12-2024,ZHZ3DKM2,ST14000NM0138,1.40005E+13,1,sac2,0,1156,3,0,FALSE,73,70385072,,,90,0,100,28,100,0,88,620356092,,,61,34708,100,0,,,100,26,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,451,100,2,,,68,32,,,100,57,99,2432,32,32,1,70385072,,,100,8,100,8,200,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,33904,100,1.40921E+11,100,5.81319E+11,,,,,,,,,,,,,,,,,,,,
07-12-2024,ZHZ4GB1N,ST14000NM0138,1.40005E+13,1,sac2,0,1156,3,,FALSE,84,228913312,,,90,0,100,28,100,0,82,155620885,,,61,34701,100,0,,,100,26,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,0,,,68,32,,,100,51,99,2408,32,32,1,228913312,,,100,0,100,0,200,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,33894,100,1.50785E+11,100,4.82747E+11,,,,,,,,,,,,,,,,,,,,
07-12-2024,ZL2MLRS7,ST16000NM001G,1.60009E+13,1,phx1,0,1403,3,17,FALSE,71,207370568,,,99,0,100,1,100,0,87,456296215,,,82,16297,100,0,,,100,1,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,40,100,0,,,69,31,,,100,0,91,18923,31,31,,,,,100,40,100,40,200,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,14570,100,70341511088,100,1.77669E+11,,,,,,,,,,,,,,,,,,,,
07-12-2024,1PGYPUUY,WDC WUH722222ALE6L4,2.2001E+13,1,phx1,0,1414,14,37,FALSE,100,65536,148,50,84,331,100,11,100,0,100,0,140,15,100,620,100,0,,,100,11,,,,,,,,,,,100,6553700,,,,,,,100,0,,,100,5.28281E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,37,100,37,57,38,,,100,0,100,56,100,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
