date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_16_normalized,smart_16_raw,smart_17_normalized,smart_17_raw,smart_18_normalized,smart_18_raw,smart_22_normalized,smart_22_raw,smart_23_normalized,smart_23_raw,smart_24_normalized,smart_24_raw,smart_168_normalized,smart_168_raw,smart_170_normalized,smart_170_raw,smart_173_normalized,smart_173_raw,smart_174_normalized,smart_174_raw,smart_175_normalized,smart_175_raw,smart_177_normalized,smart_177_raw,smart_179_normalized,smart_179_raw,smart_180_normalized,smart_180_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_202_normalized,smart_202_raw,smart_206_normalized,smart_206_raw,smart_210_normalized,smart_210_raw,smart_218_normalized,smart_218_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_231_normalized,smart_231_raw,smart_232_normalized,smart_232_raw,smart_233_normalized,smart_233_raw,smart_234_normalized,smart_234_raw,smart_235_normalized,smart_235_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_245_normalized,smart_245_raw,smart_247_normalized,smart_247_raw,smart_248_normalized,smart_248_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw,source_file
2021-01-01,ZHZ4ESP9,ST12000NM0008,12000138625024,1,70.0,10044608.0,,,97.0,0.0,100.0,3.0,100.0,0.0,86.0,372323964.0,,,89.0,10362.0,100.0,0.0,,,100.0,3.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,1.0,100.0,0.0,,,70.0,30.0,,,100.0,107.0,100.0,529.0,30.0,30.0,3.0,10044608.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,10286.0,100.0,62152331984.0,100.0,128287694250.0,,,,,,,,,,,,,,,,,2021-01-01.csv
2021-01-01,PL1331LAHD2YRH,HGST HMS5C4040BLE640,4000787030016,1,100.0,0.0,134.0,100.0,100.0,0.0,100.0,3.0,100.0,0.0,100.0,0.0,113.0,42.0,95.0,40055.0,100.0,0.0,,,100.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,3.0,100.0,3.0,240.0,25.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-01.csv
2021-01-01,ZJV4MDYR,ST12000NM0007,12000138625024,1,80.0,109242552.0,,,92.0,0.0,100.0,6.0,92.0,33104.0,88.0,705705192.0,,,88.0,11287.0,100.0,0.0,,,100.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,87.0,100.0,0.0,,,68.0,32.0,,,100.0,134.0,100.0,941.0,32.0,32.0,80.0,109242552.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,11118.0,100.0,64176767192.0,100.0,157612371752.0,,,,,,,,,,,,,,,,,2021-01-01.csv
2021-01-01,40P0A0SVF97G,TOSHIBA MG07ACA14TA,14000519643136,1,100.0,0.0,100.0,0.0,100.0,7945.0,100.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,89.0,4730.0,100.0,0.0,,,100.0,1.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,187.0,100.0,24.0,,,100.0,0.0,100.0,1.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,100.0,2097153.0,89.0,4537.0,100.0,0.0,100.0,0.0,,,100.0,535.0,,,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,2021-01-01.csv
2021-01-02,S301K7NR,ST4000DM000,4000787030016,1,93.0,134955760.0,,,91.0,0.0,100.0,17.0,92.0,10320.0,89.0,878734605.0,,,48.0,45906.0,100.0,0.0,,,100.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,3.0,100.0,0.0,38.0,62.0,100.0,1.0,100.0,0.0,73.0,27.0,100.0,0.0,100.0,0.0,95.0,10514.0,27.0,27.0,,,,,100.0,56.0,100.0,56.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,45780.0,100.0,63429149288.0,100.0,364228086767.0,,,,,,,,,,,,,,,,,2021-01-02.csv
2021-01-02,Z302SZMS,ST4000DM000,4000787030016,1,108.0,60844601.0,,,91.0,0.0,100.0,37.0,99.0,840.0,88.0,801606583.0,,,47.0,46764.0,100.0,0.0,,,100.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,4.0,100.0,0.0,47.0,53.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,100.0,21.0,94.0,13126.0,24.0,24.0,,,,,100.0,104.0,100.0,104.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,46497.0,100.0,63429372800.0,100.0,275283351003.0,,,,,,,,,,,,,,,,,2021-01-02.csv
2021-01-02,7QT024SR,Seagate BarraCuda 120 SSD ZA250CM10003,250059350016,1,100.0,1515.0,,,,,,,,,,,,,100.0,576.0,,,,,100.0,3.0,,,,,100.0,446.0,100.0,445.0,,,,,,,,,100.0,1.0,100.0,4294967431.0,100.0,2555996.0,100.0,2.0,,,100.0,6.0,,,,,,,,,,,,,,,,,,,,,,,100.0,2.0,,,92.0,35.0,,,,,,,,,,,,,,,,,,,,,100.0,1.0,,,,,,,,,,,,,100.0,97.0,100.0,4294967502.0,100.0,4204.0,,,100.0,8818062720.0,,,100.0,2825.0,100.0,805.0,,,,,,,,,,,,,,,,,2021-01-02.csv
2021-01-03,Z304K098,ST4000DM000,4000787030016,1,102.0,67740289.0,,,92.0,0.0,100.0,22.0,100.0,16.0,87.0,608059987.0,,,48.0,45968.0,100.0,0.0,,,100.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,2.0,100.0,0.0,85.0,15.0,100.0,2.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,1.0,98.0,5849.0,20.0,20.0,,,,,100.0,16.0,100.0,16.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,45882.0,100.0,60705640848.0,100.0,306134121791.0,,,,,,,,,,,,,,,,,2021-01-03.csv
2021-01-03,ZHZ3CDBZ,ST12000NM0008,12000138625024,1,63.0,9802104.0,,,94.0,0.0,100.0,5.0,100.0,768.0,65.0,3248068.0,,,92.0,7562.0,100.0,0.0,,,100.0,4.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,21.0,100.0,0.0,,,68.0,32.0,,,100.0,0.0,100.0,1799.0,32.0,32.0,2.0,9802104.0,,,99.0,760.0,99.0,760.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,7166.0,100.0,50030817136.0,100.0,98905139866.0,,,,,,,,,,,,,,,,,2021-01-03.csv
2021-01-04,ZHZ4NE5C,ST12000NM0008,12000138625024,1,79.0,86787416.0,,,94.0,0.0,100.0,5.0,100.0,24.0,84.0,260961379.0,,,89.0,9766.0,100.0,0.0,,,100.0,5.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,76.0,24.0,,,100.0,84.0,100.0,539.0,24.0,24.0,1.0,86787416.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,9663.0,100.0,53914460120.0,100.0,136846630956.0,,,,,,,,,,,,,,,,,2021-01-04.csv
