date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_16_normalized,smart_16_raw,smart_17_normalized,smart_17_raw,smart_18_normalized,smart_18_raw,smart_22_normalized,smart_22_raw,smart_23_normalized,smart_23_raw,smart_24_normalized,smart_24_raw,smart_160_normalized,smart_160_raw,smart_161_normalized,smart_161_raw,smart_163_normalized,smart_163_raw,smart_164_normalized,smart_164_raw,smart_165_normalized,smart_165_raw,smart_166_normalized,smart_166_raw,smart_167_normalized,smart_167_raw,smart_168_normalized,smart_168_raw,smart_169_normalized,smart_169_raw,smart_170_normalized,smart_170_raw,smart_171_normalized,smart_171_raw,smart_172_normalized,smart_172_raw,smart_173_normalized,smart_173_raw,smart_174_normalized,smart_174_raw,smart_175_normalized,smart_175_raw,smart_176_normalized,smart_176_raw,smart_177_normalized,smart_177_raw,smart_178_normalized,smart_178_raw,smart_179_normalized,smart_179_raw,smart_180_normalized,smart_180_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_202_normalized,smart_202_raw,smart_206_normalized,smart_206_raw,smart_210_normalized,smart_210_raw,smart_218_normalized,smart_218_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_230_normalized,smart_230_raw,smart_231_normalized,smart_231_raw,smart_232_normalized,smart_232_raw,smart_233_normalized,smart_233_raw,smart_234_normalized,smart_234_raw,smart_235_normalized,smart_235_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_244_normalized,smart_244_raw,smart_245_normalized,smart_245_raw,smart_246_normalized,smart_246_raw,smart_247_normalized,smart_247_raw,smart_248_normalized,smart_248_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw,source_file
2023-01-01,Z304KCM6,ST4000DM000,4000787030016,1,114.0,82574920.0,,,91.0,0.0,100.0,34.0,100.0,0.0,88.0,796233095.0,,,28.0,63425.0,100.0,0.0,,,100.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,0.0,100.0,16.0,97.0,7972.0,18.0,18.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,63327.0,100.0,67594044152.0,100.0,522604187952.0,,,,,,,,,,,,,,,,,,,,,2023-01-01.csv
2023-01-01,ZA180QJA,ST8000NM0055,8001563222016,1,80.0,112054032.0,,,89.0,0.0,100.0,17.0,100.0,496.0,91.0,1308282359.0,,,46.0,47466.0,100.0,0.0,,,100.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,60.0,40.0,95.0,10070.0,100.0,71.0,88.0,25268.0,40.0,40.0,80.0,112054032.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,47402.0,100.0,88196614312.0,100.0,650846519228.0,,,,,,,,,,,,,,,,,,,,,2023-01-01.csv
2023-01-01,ZDEB3507,ST500LM030,500107862016,1,79.0,84261608.0,,,99.0,0.0,100.0,9.0,100.0,0.0,90.0,988836667.0,,,58.0,37237.0,100.0,0.0,,,100.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,8590065666.0,100.0,0.0,70.0,30.0,100.0,2.0,100.0,3.0,100.0,269.0,30.0,30.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,37237.0,100.0,190610085072.0,100.0,133205254441.0,,,,,,,,,,,,,,,,,100.0,0.0,,,2023-01-01.csv
2023-01-02,ZHZ39CL6,ST12000NM0008,12000138625024,1,70.0,70642432.0,,,92.0,0.0,100.0,7.0,100.0,0.0,81.0,131742356.0,,,72.0,25029.0,100.0,0.0,,,100.0,7.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,63.0,37.0,,,100.0,0.0,99.0,2582.0,37.0,37.0,1.0,70642432.0,,,100.0,8.0,100.0,8.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,24521.0,100.0,89203997696.0,100.0,571512514080.0,,,,,,,,,,,,,,,,,,,,,2023-01-02.csv
2023-01-02,ZHZ636GE,ST12000NM0008,12000138625024,1,81.0,135235632.0,,,90.0,0.0,100.0,21.0,100.0,0.0,90.0,961201255.0,,,72.0,25051.0,100.0,0.0,,,100.0,21.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,63.0,37.0,,,100.0,2.0,99.0,2725.0,37.0,37.0,1.0,135235632.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,24521.0,100.0,89713956752.0,100.0,595481107446.0,,,,,,,,,,,,,,,,,,,,,2023-01-02.csv
2023-01-03,Z300CLRY,ST4000DM000,4000787030016,1,117.0,142630520.0,,,92.0,0.0,100.0,612.0,100.0,0.0,85.0,4656098225.0,,,51.0,43595.0,100.0,0.0,,,100.0,551.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,99.0,1.0,100.0,0.0,100.0,0.0,92.0,8.0,73.0,27.0,100.0,0.0,100.0,113.0,66.0,68942.0,27.0,27.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,42317.0,100.0,87168677237.0,100.0,280538919155.0,,,,,,,,,,,,,,,,,,,,,2023-01-03.csv
2023-01-03,Z304JE1G,ST4000DM000,4000787030016,1,119.0,1908296.0,,,91.0,0.0,100.0,21.0,100.0,0.0,87.0,656757711.0,,,28.0,63508.0,100.0,0.0,,,100.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,100.0,1.0,97.0,7799.0,22.0,22.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,63401.0,100.0,69047087600.0,100.0,473429387121.0,,,,,,,,,,,,,,,,,,,,,2023-01-03.csv
2023-01-03,S301NL6Z,ST4000DM000,4000787030016,1,108.0,15047800.0,,,91.0,0.0,100.0,35.0,100.0,0.0,89.0,839114377.0,,,28.0,63479.0,100.0,0.0,,,100.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,108.0,30.0,70.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,0.0,93.0,14045.0,21.0,21.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,63347.0,100.0,71102632856.0,100.0,500232864224.0,,,,,,,,,,,,,,,,,,,,,2023-01-03.csv
2023-01-03,Z303REBS,ST4000DM000,4000787030016,1,119.0,223372544.0,,,91.0,0.0,100.0,13.0,100.0,0.0,66.0,3842961.0,,,29.0,62246.0,100.0,0.0,,,100.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,73.0,27.0,100.0,0.0,100.0,0.0,66.0,34.0,100.0,0.0,100.0,0.0,38.0,124190.0,34.0,34.0,,,,,100.0,72.0,100.0,72.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,61390.0,100.0,54405571184.0,100.0,475869259706.0,,,,,,,,,,,,,,,,,,,,,2023-01-03.csv
2023-01-03,Z305AK0J,ST4000DM000,4000787030016,1,108.0,17647296.0,,,91.0,0.0,100.0,14.0,100.0,0.0,82.0,17984666074.0,,,31.0,61099.0,100.0,0.0,,,100.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,6.0,90.0,10.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,100.0,0.0,96.0,8755.0,22.0,22.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,60989.0,100.0,64759159536.0,100.0,447195199766.0,,,,,,,,,,,,,,,,,,,,,2023-01-03.csv
