date,serial_number,model,capacity_bytes,failure,datacenter,cluster_id,vault_id,pod_id,pod_slot_num,is_legacy_format,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_16_normalized,smart_16_raw,smart_17_normalized,smart_17_raw,smart_18_normalized,smart_18_raw,smart_22_normalized,smart_22_raw,smart_23_normalized,smart_23_raw,smart_24_normalized,smart_24_raw,smart_27_normalized,smart_27_raw,smart_71_normalized,smart_71_raw,smart_82_normalized,smart_82_raw,smart_90_normalized,smart_90_raw,smart_160_normalized,smart_160_raw,smart_161_normalized,smart_161_raw,smart_163_normalized,smart_163_raw,smart_164_normalized,smart_164_raw,smart_165_normalized,smart_165_raw,smart_166_normalized,smart_166_raw,smart_167_normalized,smart_167_raw,smart_168_normalized,smart_168_raw,smart_169_normalized,smart_169_raw,smart_170_normalized,smart_170_raw,smart_171_normalized,smart_171_raw,smart_172_normalized,smart_172_raw,smart_173_normalized,smart_173_raw,smart_174_normalized,smart_174_raw,smart_175_normalized,smart_175_raw,smart_176_normalized,smart_176_raw,smart_177_normalized,smart_177_raw,smart_178_normalized,smart_178_raw,smart_179_normalized,smart_179_raw,smart_180_normalized,smart_180_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_202_normalized,smart_202_raw,smart_206_normalized,smart_206_raw,smart_210_normalized,smart_210_raw,smart_218_normalized,smart_218_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_230_normalized,smart_230_raw,smart_231_normalized,smart_231_raw,smart_232_normalized,smart_232_raw,smart_233_normalized,smart_233_raw,smart_234_normalized,smart_234_raw,smart_235_normalized,smart_235_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_244_normalized,smart_244_raw,smart_245_normalized,smart_245_raw,smart_246_normalized,smart_246_raw,smart_247_normalized,smart_247_raw,smart_248_normalized,smart_248_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw,source_file
2024-01-01,ZHZ4VQ82,ST12000NM0008,12000138625024,1,phx1,0,1068,16,36.0,False,84.0,231261120.0,,,90.0,0.0,100.0,10.0,100.0,8.0,71.0,73202474826.0,,,62.0,33803.0,100.0,0.0,,,100.0,10.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,64.0,36.0,,,100.0,2.0,99.0,2993.0,36.0,36.0,1.0,231261120.0,,,100.0,8.0,100.0,8.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,33264.0,100.0,110391003248.0,100.0,758737922694.0,,,,,,,,,,,,,,,,,,,,,2024-01-01.csv
2024-01-01,ZA219EY6,ST10000NM0086,10000831348736,1,sac0,0,1093,11,30.0,False,73.0,20238944.0,,,91.0,0.0,100.0,15.0,79.0,18784.0,89.0,854173454.0,,,38.0,55103.0,100.0,0.0,,,100.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,93.0,7.0,100.0,0.0,78.0,22.0,79.0,21.0,83.0,34822.0,100.0,692.0,99.0,2584.0,21.0,21.0,73.0,20238944.0,,,100.0,368.0,100.0,368.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,54837.0,100.0,120150493384.0,100.0,563662417582.0,,,,,,,,,,,,,,,,,,,,,2024-01-01.csv
2024-01-01,8DGN43XH,HGST HUH721212ALE604,12000138625024,1,sac2,0,1121,5,4.0,False,100.0,0.0,132.0,96.0,100.0,0.0,100.0,6.0,100.0,14.0,100.0,0.0,128.0,18.0,97.0,27773.0,100.0,0.0,,,100.0,6.0,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,1024.0,100.0,1024.0,193.0,31.0,,,100.0,14.0,100.0,8.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-01.csv
2024-01-02,ZA1814DG,ST8000NM0055,8001563222016,1,phx1,0,1054,11,37.0,False,78.0,63938160.0,,,89.0,0.0,100.0,23.0,100.0,64.0,96.0,4125093608.0,,,36.0,56244.0,100.0,0.0,,,100.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,12885098499.0,100.0,0.0,61.0,39.0,95.0,11914.0,100.0,101.0,82.0,36679.0,39.0,39.0,78.0,63938160.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,56177.0,100.0,103372831880.0,100.0,925434822070.0,,,,,,,,,,,,,,,,,,,,,2024-01-02.csv
2024-01-02,88P0A091F97G,TOSHIBA MG07ACA14TA,14000519643136,1,phx1,0,1066,17,24.0,False,100.0,0.0,100.0,0.0,100.0,7889.0,100.0,10.0,100.0,4.0,100.0,0.0,100.0,0.0,15.0,34340.0,100.0,0.0,,,100.0,8.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,32.0,100.0,1.0,100.0,79.0,100.0,30.0,,,100.0,4.0,100.0,1.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,100.0,18874371.0,15.0,34291.0,100.0,0.0,100.0,0.0,,,100.0,588.0,,,,,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-02.csv
2024-01-02,6120A095F97G,TOSHIBA MG07ACA14TA,14000519643136,1,phx1,0,1088,3,17.0,False,100.0,0.0,100.0,0.0,100.0,7744.0,100.0,4.0,100.0,0.0,100.0,0.0,100.0,0.0,49.0,20768.0,100.0,0.0,,,100.0,4.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,286.0,100.0,1.0,100.0,45.0,100.0,32.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,100.0,253755395.0,49.0,20643.0,100.0,0.0,100.0,0.0,,,100.0,588.0,,,,,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-02.csv
2024-01-02,AAG63WUH,HGST HUH721212ALN604,12000138625024,1,sac2,0,1118,17,15.0,False,100.0,0.0,100.0,0.0,100.0,0.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,94.0,44124.0,100.0,0.0,,,100.0,9.0,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,1650.0,99.0,1650.0,193.0,31.0,,,100.0,0.0,100.0,2.0,100.0,3.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-02.csv
2024-01-02,ZHZ6CF50,ST12000NM0008,12000138625024,1,sac0,0,1137,4,18.0,False,70.0,9486224.0,,,94.0,0.0,100.0,5.0,97.0,13952.0,90.0,994885401.0,,,63.0,32519.0,100.0,0.0,,,100.0,5.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,117.0,100.0,0.0,,,78.0,22.0,,,100.0,0.0,100.0,1627.0,22.0,22.0,2.0,9486224.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,32293.0,100.0,107516677256.0,100.0,477454599652.0,,,,,,,,,,,,,,,,,,,,,2024-01-02.csv
2024-01-02,8HGHXP6H,HGST HUH721212ALE604,12000138625024,1,sac0,0,1145,14,10.0,False,100.0,0.0,132.0,96.0,162.0,404.0,100.0,14.0,100.0,0.0,100.0,0.0,128.0,18.0,96.0,29492.0,100.0,0.0,,,100.0,14.0,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,1056.0,100.0,1056.0,250.0,24.0,,,100.0,0.0,100.0,16.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-02.csv
2024-01-02,ZLW18Q0E,ST14000NM001G,14000519643136,1,sac2,0,1148,2,13.0,False,68.0,237450936.0,,,90.0,0.0,100.0,9.0,100.0,0.0,82.0,169169300.0,,,68.0,28794.0,100.0,0.0,,,100.0,9.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,64.0,100.0,12886016017.0,,,65.0,35.0,,,100.0,1.0,100.0,1652.0,35.0,35.0,,,,,68.0,18832.0,68.0,18832.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,28492.0,100.0,129172045888.0,100.0,415011682762.0,,,,,,,,,,,,,,,,,,,,,2024-01-02.csv
