date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_16_normalized,smart_16_raw,smart_17_normalized,smart_17_raw,smart_18_normalized,smart_18_raw,smart_22_normalized,smart_22_raw,smart_23_normalized,smart_23_raw,smart_24_normalized,smart_24_raw,smart_168_normalized,smart_168_raw,smart_170_normalized,smart_170_raw,smart_173_normalized,smart_173_raw,smart_174_normalized,smart_174_raw,smart_177_normalized,smart_177_raw,smart_179_normalized,smart_179_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_218_normalized,smart_218_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_231_normalized,smart_231_raw,smart_232_normalized,smart_232_raw,smart_233_normalized,smart_233_raw,smart_235_normalized,smart_235_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw,source_file
2020-04-01,S301NDVZ,ST4000DM000,4000787030016,1,117.0,142762888.0,,,91.0,0.0,100.0,13.0,100.0,0.0,82.0,186856750.0,,,56.0,38614.0,100.0,0.0,,,100.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,0.0,100.0,1.0,93.0,15932.0,27.0,27.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,38459.0,100.0,55964161776.0,100.0,241629607953.0,,,,,,,,,,,2020-04-01.csv
2020-04-01,ZHZ3SS54,ST12000NM0008,12000138625024,1,69.0,93496976.0,,,97.0,0.0,100.0,3.0,99.0,3944.0,87.0,517430744.0,,,97.0,3090.0,100.0,0.0,,,100.0,3.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,5.0,100.0,0.0,,,63.0,37.0,,,100.0,13.0,100.0,258.0,37.0,37.0,1.0,93496976.0,,,100.0,8.0,100.0,8.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,3021.0,100.0,36444109320.0,100.0,55690629754.0,,,,,,,,,,,2020-04-01.csv
2020-04-01,ZCH098ER,ST12000NM0007,12000138625024,1,75.0,34494144.0,,,90.0,0.0,100.0,8.0,82.0,5768.0,85.0,344627072.0,,,79.0,19254.0,100.0,0.0,,,100.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,106.0,100.0,0.0,,,75.0,25.0,,,100.0,310.0,100.0,1097.0,25.0,25.0,75.0,34494144.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,19053.0,100.0,63790760352.0,100.0,163783053790.0,,,,,,,,,,,2020-04-01.csv
2020-04-02,ZA13YPL7,ST8000DM002,8001563222016,1,68.0,161962208.0,,,84.0,0.0,100.0,11.0,100.0,1736.0,95.0,3500760283.0,,,67.0,29273.0,100.0,0.0,,,100.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,92.0,8.0,100.0,0.0,100.0,0.0,66.0,34.0,95.0,10287.0,100.0,2.0,81.0,38773.0,34.0,34.0,16.0,161962208.0,,,100.0,16.0,100.0,16.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,29228.0,100.0,71716963416.0,100.0,194415900032.0,,,,,,,,,,,2020-04-02.csv
2020-04-02,5641SFRFS,TOSHIBA MQ01ABF050,500107862016,1,100.0,0.0,100.0,0.0,100.0,1314.0,100.0,4.0,100.0,0.0,100.0,0.0,100.0,0.0,18.0,33017.0,100.0,0.0,,,100.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,9.0,100.0,0.0,100.0,2190.0,100.0,26.0,,,100.0,0.0,100.0,48.0,100.0,0.0,200.0,0.0,,,,,,,100.0,0.0,18.0,33017.0,100.0,0.0,100.0,0.0,,,100.0,187.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,2020-04-02.csv
2020-04-02,ZA120V8D,ST8000NM0055,8001563222016,1,83.0,216744360.0,,,89.0,0.0,100.0,6.0,100.0,24.0,95.0,3372135230.0,,,67.0,29281.0,100.0,0.0,,,100.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,69.0,31.0,95.0,11864.0,100.0,2.0,82.0,36905.0,31.0,31.0,1.0,216744360.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,29234.0,100.0,72309611040.0,100.0,191724941843.0,,,,,,,,,,,2020-04-02.csv
2020-04-03,ZCH06W4L,ST12000NM0007,12000138625024,1,60.0,81543320.0,,,90.0,0.0,100.0,20.0,100.0,1968.0,88.0,702030350.0,,,76.0,21650.0,100.0,0.0,,,100.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,2.0,100.0,0.0,,,72.0,28.0,,,100.0,306.0,100.0,1272.0,28.0,28.0,79.0,81543320.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,21405.0,100.0,72854723232.0,100.0,209453592556.0,,,,,,,,,,,2020-04-03.csv
2020-04-03,ZJV0WBS7,ST12000NM0007,12000138625024,1,82.0,168831978.0,,,90.0,0.0,100.0,13.0,100.0,32.0,84.0,9114370558.0,,,89.0,10258.0,100.0,0.0,,,100.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1175.0,100.0,0.0,,,69.0,31.0,,,100.0,221.0,99.0,3386.0,31.0,31.0,35.0,168831978.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,9430.0,100.0,32424882752.0,100.0,54658201000.0,,,,,,,,,,,2020-04-03.csv
2020-04-03,S2ZYJ9GGB01746,ST500LM012 HN,500107862016,1,100.0,30.0,252.0,0.0,94.0,1846.0,100.0,4.0,252.0,0.0,252.0,0.0,252.0,0.0,100.0,32188.0,252.0,0.0,100.0,168.0,100.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.0,0.0,252.0,0.0,,,64.0,27.0,100.0,0.0,252.0,0.0,252.0,0.0,252.0,0.0,200.0,0.0,100.0,4634.0,,,,,,,,,100.0,168.0,,,64.0,367215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-04-03.csv
2020-04-03,ZCH0EJXB,ST12000NM0007,12000138625024,1,83.0,205324464.0,,,89.0,0.0,100.0,11.0,100.0,608.0,83.0,211320390.0,,,81.0,16677.0,100.0,0.0,,,100.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,100.0,100.0,0.0,,,68.0,32.0,,,100.0,222.0,100.0,1176.0,32.0,32.0,83.0,205324464.0,,,100.0,8.0,100.0,8.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,16450.0,100.0,53920405688.0,100.0,197261698564.0,,,,,,,,,,,2020-04-03.csv
